t x y
7.53 3.71493 0.0198355
7.54 3.77032 0.0199835
7.55 3.82653 0.0201439
7.56 3.88358 0.0203171
7.57 3.94147 0.0205035
7.58 4.00022 0.0207034
7.59 4.05983 0.0209173
7.6 4.12032 0.0211458
7.61 4.1817 0.0213897
7.62 4.24398 0.0216499
7.63 4.30718 0.0219273
7.64 4.37131 0.0222227
7.65 4.43638 0.022537
7.66 4.50241 0.0228712
7.67 4.5694 0.023226
7.68 4.63737 0.0236023
7.69 4.70634 0.0240011
7.7 4.77631 0.0244231
7.71 4.8473 0.0248697
7.72 4.91932 0.0253426
7.73 4.99238 0.0258433
7.74 5.06651 0.0263737
7.75 5.14171 0.0269354
7.76 5.21799 0.0275301
7.77 5.29538 0.0281596
7.78 5.37388 0.0288254
7.79 5.4535 0.0295294
7.8 5.53427 0.0302732
7.81 5.6162 0.0310586
7.82 5.69929 0.031888
7.83 5.78356 0.0327659
7.84 5.86902 0.0336971
7.85 5.95569 0.0346865
7.86 6.04357 0.0357388
7.87 6.13268 0.0368589
7.88 6.22303 0.0380516
7.89 6.31463 0.0393217
7.9 6.40749 0.0406739
7.91 6.50162 0.0421133
7.92 6.59704 0.0436444
7.93 6.69376 0.0452722
7.94 6.79179 0.0470017
7.95 6.89113 0.0488417
7.96 6.9918 0.0508034
7.97 7.09379 0.0528981
7.98 7.19711 0.0551372
7.99 7.30176 0.0575322
8 7.40776 0.0600942
8.01 7.51509 0.0628347
8.02 7.62377 0.0657683
8.03 7.73379 0.0689149
8.04 7.84513 0.0722952
8.05 7.95779 0.0759299
8.06 8.07176 0.0798395
8.07 8.18704 0.0840447
8.08 8.30361 0.088568
8.09 8.42144 0.0934428
8.1 8.54051 0.0987063
8.11 8.66078 0.104395
8.12 8.78222 0.110548
8.13 8.90481 0.1172
8.14 9.02849 0.1244
8.15 9.15319 0.13221
8.16 9.27885 0.140693
8.17 9.40541 0.149911
8.18 9.53278 0.159928
8.19 9.66087 0.170828
8.2 9.78957 0.182711
8.21 9.91873 0.19568
8.22 10.0483 0.209836
8.23 10.178 0.225299
8.24 10.3077 0.242222
8.25 10.4372 0.260762
8.26 10.5663 0.281076
8.27 10.6947 0.303357
8.28 10.8221 0.327833
8.29 10.9483 0.354737
8.3 11.0728 0.384317
8.31 11.1952 0.416884
8.32 11.3151 0.452768
8.33 11.432 0.49231
8.34 11.5453 0.535925
8.35 11.6544 0.584064
8.36 11.7586 0.637192
8.37 11.857 0.695865
8.38 11.9489 0.76067
8.39 12.0334 0.832232
8.4 12.1093 0.911267
8.41 12.1756 0.998517
8.42 12.231 1.09478
8.43 12.2742 1.20093
8.44 12.3039 1.31785
8.45 12.3186 1.44647
8.46 12.3166 1.58775
8.47 12.2964 1.74264
8.48 12.2564 1.91205
8.49 12.1948 2.0969
8.5 12.1103 2.29791
8.51 12.0011 2.51578
8.52 11.866 2.75093
8.53 11.7039 3.00359
8.54 11.5138 3.27373
8.55 11.2954 3.56082
8.56 11.0483 3.86418
8.57 10.7731 4.1824
8.58 10.4708 4.51365
8.59 10.1426 4.85593
8.6 9.79077 5.20639
8.61 9.41785 5.56189
8.62 9.0268 5.91907
8.63 8.62127 6.27409
8.64 8.20498 6.62309
8.65 7.78192 6.96225
8.66 7.35619 7.28774
8.67 6.93174 7.59603
8.68 6.51226 7.88408
8.69 6.10133 8.14904
8.7 5.70187 8.38888
8.71 5.3165 8.60194
8.72 4.94735 8.78713
8.73 4.59589 8.9441
8.74 4.2634 9.07269
8.75 3.95039 9.17352
8.76 3.65711 9.24745
8.77 3.38362 9.29552
8.78 3.12942 9.31926
8.79 2.89397 9.32021
8.8 2.67651 9.30008
8.81 2.47612 9.26063
8.82 2.29184 9.20365
8.83 2.12266 9.13086
8.84 1.96754 9.04398
8.85 1.82546 8.94465
8.86 1.69542 8.83436
8.87 1.57645 8.71461
8.88 1.46765 8.58668
8.89 1.36816 8.45184
8.9 1.27716 8.31121
8.91 1.19394 8.16579
8.92 1.11778 8.01654
8.93 1.04805 7.86428
8.94 0.984192 7.70976
8.95 0.925651 7.55366
8.96 0.871959 7.39658
8.97 0.822684 7.23902
8.98 0.777407 7.08149
8.99 0.73578 6.92437
9 0.697484 6.76803
9.01 0.662203 6.6128
9.02 0.629677 6.45894
9.03 0.599675 6.30668
9.04 0.571966 6.15623
9.05 0.546345 6.00778
9.06 0.522646 5.86147
9.07 0.500708 5.7174
9.08 0.480371 5.5757
9.09 0.461503 5.43646
9.1 0.443993 5.29972
9.11 0.427732 5.16554
9.12 0.412611 5.03398
9.13 0.398536 4.90506
9.14 0.385436 4.77879
9.15 0.373238 4.65517
9.16 0.361869 4.53422
9.17 0.351261 4.41593
9.18 0.341361 4.30029
9.19 0.332121 4.18727
9.2 0.323497 4.07686
9.21 0.315442 3.96902
9.22 0.307911 3.86374
9.23 0.300866 3.76098
9.24 0.294281 3.66071
9.25 0.288129 3.56288
9.26 0.282383 3.46746
9.27 0.277017 3.3744
9.28 0.272004 3.28367
9.29 0.267318 3.19522
9.3 0.262939 3.10902
9.31 0.25885 3.02501
9.32 0.255036 2.94316
9.33 0.251483 2.86342
9.34 0.248175 2.78575
9.35 0.245097 2.71009
9.36 0.242237 2.63641
9.37 0.239585 2.56466
9.38 0.237132 2.49481
9.39 0.234866 2.42679
9.4 0.232777 2.36058
9.41 0.230857 2.29613
9.42 0.229098 2.2334
9.43 0.227493 2.17235
9.44 0.226037 2.11293
9.45 0.224721 2.05511
9.46 0.223541 1.99885
9.47 0.222489 1.9441
9.48 0.221562 1.89084
9.49 0.220756 1.83902
9.5 0.220064 1.78861
9.51 0.219485 1.73956
9.52 0.219012 1.69186
9.53 0.218643 1.64545
9.54 0.218374 1.60031
9.55 0.218204 1.55641
9.56 0.218128 1.51371
9.57 0.218143 1.47218
9.58 0.218248 1.43179
9.59 0.21844 1.39251
9.6 0.218717 1.35431
9.61 0.219077 1.31717
9.62 0.219518 1.28105
9.63 0.220038 1.24592
9.64 0.220635 1.21177
9.65 0.221309 1.17855
9.66 0.222057 1.14626
9.67 0.22288 1.11486
9.68 0.223774 1.08433
9.69 0.22474 1.05465
9.7 0.225775 1.02578
9.71 0.22688 0.997723
9.72 0.228054 0.97044
9.73 0.229296 0.943916
9.74 0.230604 0.918129
9.75 0.231979 0.893057
9.76 0.23342 0.868681
